feature,contrast,estimate,CI 2.5%,CI 97.5%,t,p,d
pitch,LC - IC,-0.27,-0.98,0.43,-0.93,1,-0.18
pitch,LC - HC,-1.32,-2.03,-0.62,-4.51,0,-0.86
pitch,IC - HC,-1.05,-1.76,-0.34,-3.58,0,-0.69
intensity,LC - IC,-2.16,-2.86,-1.45,-7.34,0,-1.41
intensity,LC - HC,-2.32,-3.03,-1.61,-7.9,0,-1.51
intensity,IC - HC,-0.16,-0.87,0.54,-0.56,1,-0.11
timbre,LC - IC,-1.83,-2.53,-1.12,-6.22,0,-1.19
timbre,LC - HC,-2.34,-3.05,-1.64,-7.98,0,-1.53
timbre,IC - HC,-0.52,-1.22,0.19,-1.76,0.24,-0.34
location,LC - IC,-2.17,-2.87,-1.46,-7.38,0,-1.41
location,LC - HC,-2.07,-2.78,-1.36,-7.05,0,-1.35
location,IC - HC,0.1,-0.61,0.8,0.33,1,0.06
