feature,contrast,estimate,CI 2.5%,CI 97.5%,t,p,d,estimate,CI 2.5%,CI 97.5%,t,p,d
pitch,LC - IC,-0.27,-0.98,0.43,-0.93,1,-0.18,-62.15,-79.68,-44.61,-8.52,0,-1.92
pitch,LC - HC,-1.32,-2.03,-0.62,-4.51,0,-0.86,-78.38,-95.92,-60.85,-10.75,0,-2.42
pitch,IC - HC,-1.05,-1.76,-0.34,-3.58,0,-0.69,-16.24,-33.77,1.3,-2.23,0.08,-0.5
intensity,LC - IC,-2.16,-2.86,-1.45,-7.34,0,-1.41,-24.41,-41.95,-6.88,-3.35,0,-0.75
intensity,LC - HC,-2.32,-3.03,-1.61,-7.9,0,-1.51,-13.15,-30.68,4.39,-1.8,0.22,-0.41
intensity,IC - HC,-0.16,-0.87,0.54,-0.56,1,-0.11,11.26,-6.27,28.8,1.55,0.37,0.35
timbre,LC - IC,-1.83,-2.53,-1.12,-6.22,0,-1.19,-24.76,-42.3,-7.23,-3.4,0,-0.76
timbre,LC - HC,-2.34,-3.05,-1.64,-7.98,0,-1.53,-16.38,-33.92,1.15,-2.25,0.08,-0.51
timbre,IC - HC,-0.52,-1.22,0.19,-1.76,0.24,-0.34,8.38,-9.15,25.92,1.15,0.75,0.26
location,LC - IC,-2.17,-2.87,-1.46,-7.38,0,-1.41,1.47,-16.06,19,0.2,1,0.05
location,LC - HC,-2.07,-2.78,-1.36,-7.05,0,-1.35,1,-16.53,18.53,0.14,1,0.03
location,IC - HC,0.1,-0.61,0.8,0.33,1,0.06,-0.47,-18,17.06,-0.06,1,-0.01
